fecha;pasos;diasemana;dia;mes;año;estacion;findesemana;semana
23/3/2021;8.054;martes;23;marzo;2021;otoño;no;13
24/3/2021;9.400;miercoles;24;marzo;2021;otoño;no;13
25/3/2021;4.612;jueves;25;marzo;2021;otoño;no;13
26/3/2021;7.102;viernes;26;marzo;2021;otoño;no;13
27/3/2021;4.556;sabado;27;marzo;2021;otoño;si;13
28/3/2021;4.837;domingo;28;marzo;2021;otoño;si;13
29/3/2021;5.654;lunes;29;marzo;2021;otoño;no;14
30/3/2021;8.378;martes;30;marzo;2021;otoño;no;14
31/3/2021;4.455;miercoles;31;marzo;2021;otoño;no;14
1/4/2021;10.319;jueves;1;abril;2021;otoño;no;14
2/4/2021;11.378;viernes;2;abril;2021;otoño;no;14
3/4/2021;5.234;sabado;3;abril;2021;otoño;si;14
4/4/2021;12.930;domingo;4;abril;2021;otoño;si;14
5/4/2021;7.571;lunes;5;abril;2021;otoño;no;15
6/4/2021;8.038;martes;6;abril;2021;otoño;no;15
7/4/2021;5.031;miercoles;7;abril;2021;otoño;no;15
8/4/2021;3.620;jueves;8;abril;2021;otoño;no;15
9/4/2021;8.400;viernes;9;abril;2021;otoño;no;15
10/4/2021;4.896;sabado;10;abril;2021;otoño;si;15
11/4/2021;4.567;domingo;11;abril;2021;otoño;si;15
12/4/2021;7.060;lunes;12;abril;2021;otoño;no;16
13/4/2021;12.554;martes;13;abril;2021;otoño;no;16
14/4/2021;7.631;miercoles;14;abril;2021;otoño;no;16
15/4/2021;9.743;jueves;15;abril;2021;otoño;no;16
16/4/2021;8.515;viernes;16;abril;2021;otoño;no;16
17/4/2021;6.344;sabado;17;abril;2021;otoño;si;16
18/4/2021;9.572;domingo;18;abril;2021;otoño;si;16
19/4/2021;4.397;lunes;19;abril;2021;otoño;no;17
20/4/2021;9.128;martes;20;abril;2021;otoño;no;17
21/4/2021;9.015;miercoles;21;abril;2021;otoño;no;17
22/4/2021;4.657;jueves;22;abril;2021;otoño;no;17
23/4/2021;9.097;viernes;23;abril;2021;otoño;no;17
24/4/2021;4.267;sabado;24;abril;2021;otoño;si;17
25/4/2021;16.289;domingo;25;abril;2021;otoño;si;17
26/4/2021;2.896;lunes;26;abril;2021;otoño;no;18
