fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
22/9/2019	3.367	domingo	38	22	septiembre	2019	primavera	no	si
23/9/2019	7.820	lunes	39	23	septiembre	2019	primavera	no	no
24/9/2019	9.273	martes	39	24	septiembre	2019	primavera	no	no
25/9/2019	9.701	miercoles	39	25	septiembre	2019	primavera	no	no
26/9/2019	5.117	jueves	39	26	septiembre	2019	primavera	no	no
27/9/2019	12.976	viernes	39	27	septiembre	2019	primavera	no	no
28/9/2019	1.302	sabado	39	28	septiembre	2019	primavera	no	si
29/9/2019	3.857	domingo	39	29	septiembre	2019	primavera	no	si
30/9/2019	323	lunes	40	30	septiembre	2019	primavera	no	no
1/10/2019	1.639	martes	40	1	octubre	2019	primavera	no	no
2/10/2019	9.237	miercoles	40	2	octubre	2019	primavera	no	no
3/10/2019	7.014	jueves	40	3	octubre	2019	primavera	no	no
4/10/2019	7.984	viernes	40	4	octubre	2019	primavera	no	no
5/10/2019	3.919	sabado	40	5	octubre	2019	primavera	no	si
6/10/2019	5.259	domingo	40	6	octubre	2019	primavera	no	si
7/10/2019	5.173	lunes	41	7	octubre	2019	primavera	no	no
8/10/2019	5.381	martes	41	8	octubre	2019	primavera	no	no
9/10/2019	1.720	miercoles	41	9	octubre	2019	primavera	no	no
10/10/2019	8.988	jueves	41	10	octubre	2019	primavera	no	no
11/10/2019	5.707	viernes	41	11	octubre	2019	primavera	no	no
12/10/2019	1.755	sabado	41	12	octubre	2019	primavera	no	si
13/10/2019	5.130	domingo	41	13	octubre	2019	primavera	no	si
14/10/2019	4.316	lunes	42	14	octubre	2019	primavera	no	no
15/10/2019	2.278	martes	42	15	octubre	2019	primavera	no	no
16/10/2019	6.901	miercoles	42	16	octubre	2019	primavera	no	no
17/10/2019	8.752	jueves	42	17	octubre	2019	primavera	no	no
18/10/2019	5.591	viernes	42	18	octubre	2019	primavera	no	no
19/10/2019	268	sabado	42	19	octubre	2019	primavera	no	si
20/10/2019	3.255	domingo	42	20	octubre	2019	primavera	no	si
21/10/2019	7.403	lunes	43	21	octubre	2019	primavera	no	no
22/10/2019	1.930	martes	43	22	octubre	2019	primavera	no	no
23/10/2019	7.239	miercoles	43	23	octubre	2019	primavera	no	no
24/10/2019	7.252	jueves	43	24	octubre	2019	primavera	no	no
25/10/2019	10.942	viernes	43	25	octubre	2019	primavera	no	no
26/10/2019	2.433	sabado	43	26	octubre	2019	primavera	no	si
27/10/2019	1.407	domingo	43	27	octubre	2019	primavera	no	si
28/10/2019	12.992	lunes	44	28	octubre	2019	primavera	no	no
29/10/2019	7.499	martes	44	29	octubre	2019	primavera	no	no
30/10/2019	7.862	miercoles	44	30	octubre	2019	primavera	no	no
31/10/2019	15.576	jueves	44	31	octubre	2019	primavera	no	no
1/11/2019	8.698	viernes	44	1	noviembre	2019	primavera	no	no
2/11/2019	688	sabado	44	2	noviembre	2019	primavera	no	si
3/11/2019	5.459	domingo	44	3	noviembre	2019	primavera	no	si
4/11/2019	9.581	lunes	45	4	noviembre	2019	primavera	no	no
5/11/2019	6.888	martes	45	5	noviembre	2019	primavera	no	no
6/11/2019	6.100	miercoles	45	6	noviembre	2019	primavera	no	no
7/11/2019	10.194	jueves	45	7	noviembre	2019	primavera	no	no
8/11/2019	8.342	viernes	45	8	noviembre	2019	primavera	no	no
9/11/2019	8.796	sabado	45	9	noviembre	2019	primavera	no	si
10/11/2019	6.795	domingo	45	10	noviembre	2019	primavera	no	si
11/11/2019	7.926	lunes	46	11	noviembre	2019	primavera	no	no
12/11/2019	8.613	martes	46	12	noviembre	2019	primavera	no	no
13/11/2019	10.944	miercoles	46	13	noviembre	2019	primavera	no	no
14/11/2019	4.794	jueves	46	14	noviembre	2019	primavera	no	no
15/11/2019	10.536	viernes	46	15	noviembre	2019	primavera	no	no
16/11/2019	3.484	sabado	46	16	noviembre	2019	primavera	no	si
17/11/2019	4.085	domingo	46	17	noviembre	2019	primavera	no	si
18/11/2019	295	lunes	47	18	noviembre	2019	primavera	no	no
19/11/2019	7.861	martes	47	19	noviembre	2019	primavera	no	no
20/11/2019	5.018	miercoles	47	20	noviembre	2019	primavera	no	no
21/11/2019	9.712	jueves	47	21	noviembre	2019	primavera	no	no
22/11/2019	6.917	viernes	47	22	noviembre	2019	primavera	no	no
23/11/2019	810	sabado	47	23	noviembre	2019	primavera	no	si
24/11/2019	4.240	domingo	47	24	noviembre	2019	primavera	no	si
25/11/2019	8.389	lunes	48	25	noviembre	2019	primavera	no	no
26/11/2019	7.597	martes	48	26	noviembre	2019	primavera	no	no
27/11/2019	6.573	miercoles	48	27	noviembre	2019	primavera	no	no
28/11/2019	7.376	jueves	48	28	noviembre	2019	primavera	no	no
29/11/2019	4.327	viernes	48	29	noviembre	2019	primavera	no	no
30/11/2019	5.155	sabado	48	30	noviembre	2019	primavera	no	si
1/12/2019	5.096	domingo	48	1	diciembre	2019	primavera	no	si
2/12/2019	5.057	lunes	49	2	diciembre	2019	primavera	no	no
3/12/2019	6.400	martes	49	3	diciembre	2019	primavera	no	no
4/12/2019	4.728	miercoles	49	4	diciembre	2019	primavera	no	no
5/12/2019	4.522	jueves	49	5	diciembre	2019	primavera	no	no
6/12/2019	2.809	viernes	49	6	diciembre	2019	primavera	no	no
7/12/2019	6.741	sabado	49	7	diciembre	2019	primavera	no	si
8/12/2019	5.368	domingo	49	8	diciembre	2019	primavera	no	si
9/12/2019	4.580	lunes	50	9	diciembre	2019	primavera	no	no
10/12/2019	3.880	martes	50	10	diciembre	2019	primavera	no	no
11/12/2019	2.566	miercoles	50	11	diciembre	2019	primavera	no	no
12/12/2019	3.111	jueves	50	12	diciembre	2019	primavera	no	no
13/12/2019	5.118	viernes	50	13	diciembre	2019	primavera	no	no
14/12/2019	618	sabado	50	14	diciembre	2019	primavera	no	si
15/12/2019	3.398	domingo	50	15	diciembre	2019	primavera	no	si
16/12/2019	2.880	lunes	51	16	diciembre	2019	primavera	no	no
17/12/2019	900	martes	51	17	diciembre	2019	primavera	no	no
18/12/2019	1.986	miercoles	51	18	diciembre	2019	primavera	no	no
19/12/2019	5.224	jueves	51	19	diciembre	2019	primavera	no	no
20/12/2019	2.113	viernes	51	20	diciembre	2019	primavera	no	no
21/12/2019	2.268	sabado	51	21	diciembre	2019	verano	no	si
22/12/2019	1.710	domingo	51	22	diciembre	2019	verano	no	si
23/12/2019	4.144	lunes	52	23	diciembre	2019	verano	no	no
24/12/2019	5.457	martes	52	24	diciembre	2019	verano	no	no
25/12/2019	1.213	miercoles	52	25	diciembre	2019	verano	no	no
26/12/2019	12.117	jueves	52	26	diciembre	2019	verano	no	no
27/12/2019	9.621	viernes	52	27	diciembre	2019	verano	no	no
28/12/2019	631	sabado	52	28	diciembre	2019	verano	no	si
29/12/2019	3.723	domingo	52	29	diciembre	2019	verano	no	si
30/12/2019	1.666	lunes	53	30	diciembre	2019	verano	no	no
31/12/2019	1.693	martes	53	31	diciembre	2019	verano	no	no
1/1/2020	1.020	miercoles	1	1	enero	2020	verano	no	no
2/1/2020	10.299	jueves	1	2	enero	2020	verano	no	no
3/1/2020	7.053	viernes	1	3	enero	2020	verano	no	no
4/1/2020	1.908	sabado	1	4	enero	2020	verano	no	si
